食物名称,热量,食物热量详情页
麦片,热量：368 大卡(每100克),http://www.boohee.com/shiwu/maipian
牛角面包，又叫面包、可颂、牛角包,热量：378 大卡(每100克),http://www.boohee.com/shiwu/fashiniujiaomianbao
红烧牛肉方便面(面饼+调味料+蔬菜+肉酱),热量：447 大卡(每100克),http://www.boohee.com/shiwu/hongshaoniuroufangbianmian_mianbingdiaoweiliaoshucairoujiang
双层奶酪汉堡(夹奶酪，双层肉饼、双层面包，加调料酱和蔬菜),热量：285 大卡(每100克),http://www.boohee.com/shiwu/ganlaohanbaobao_putongxing_jianailao_shuangcengroubing_shuangcengmianbao_jiadiao
山药，又叫薯蓣、山芋、诸薯、延草、薯药、大薯、薯蓣，大薯,热量：57 大卡(每100克),http://www.boohee.com/shiwu/shanyao
炒饭，又叫炒米饭,热量：188 大卡(每100克),http://www.boohee.com/shiwu/shijinchaofan
芋头，又叫芋艿、毛芋、芋艿、毛芋头,热量：56 大卡(每100克),http://www.boohee.com/shiwu/yutou
葡萄干面包，又叫面包,热量：260 大卡(每100克),http://www.boohee.com/shiwu/putaoganmianbao
稀饭，又叫白粥（籼米），大米粥，白米粥,热量：59 大卡(每100克),http://www.boohee.com/shiwu/xianmizhou
鲜玉米，又叫玉米（鲜）、苞谷、珍珠米、棒子、玉蜀黍、苞米、六谷、,热量：112 大卡(每100克),http://www.boohee.com/shiwu/yumi_xian
燕麦片，又叫燕麦,热量：338 大卡(每100克),http://www.boohee.com/shiwu/yanmaipian
面条(生)，又叫面,热量：301 大卡(每100克),http://www.boohee.com/shiwu/miantiao_junzhi
煮面条，又叫面、水煮面、面条（煮）,热量：107 大卡(每100克),http://www.boohee.com/shiwu/miantiao_fuqiangfen_zhu
籼米粉，又叫米线、米粉、粉、排米粉,热量：356 大卡(每100克),http://www.boohee.com/shiwu/xianmifen
面包,热量：313 大卡(每100克),http://www.boohee.com/shiwu/mianbao_junzhi
