食物名称,热量,食物热量详情页
麦当劳 麦乐鸡，又叫麦乐鸡 麦当劳鸡块,热量：281 大卡(每100克),http://www.boohee.com/shiwu/maidanglaohimaileji_5kuaizhuan
虾米，又叫海米、金钩、开洋、海米、虾仁,热量：198 大卡(每100克),http://www.boohee.com/shiwu/xiami
麦当劳 香骨鸡腿,热量：217 大卡(每100克),http://www.boohee.com/shiwu/fdc11eae
麦当劳 麦辣鸡翅,热量：210 大卡(每100克),http://www.boohee.com/shiwu/mailajichi4kuai_maidanglao
麦当劳 那么大鸡小块,热量：257 大卡(每100克),http://www.boohee.com/shiwu/fd710c89
酸奶,热量：70 大卡(每100毫升),http://www.boohee.com/shiwu/suannai_junzhi
牛奶，又叫纯牛奶、牛乳、全脂牛奶,热量：65 大卡(每100毫升),http://www.boohee.com/shiwu/niuru_junzhi
无糖全脂拿铁，又叫拿铁咖啡、拿铁（全脂，无糖）,热量：44 大卡(每100毫升),http://www.boohee.com/shiwu/fdbb1893
奶酪，又叫乳酪、芝士、起司、计司,热量：328 大卡(每100克),http://www.boohee.com/shiwu/nailao
酸奶(中脂),热量：64 大卡(每100毫升),http://www.boohee.com/shiwu/suannai_zhongzhi
脱脂奶粉,热量：361 大卡(每100克),http://www.boohee.com/shiwu/tuozhinaifen
酸奶(调味),热量：88 大卡(每100毫升),http://www.boohee.com/shiwu/suannai_diaowei
酸奶(果料)，又叫果料酸奶,热量：67 大卡(每100毫升),http://www.boohee.com/shiwu/suannai_guoliao
酸奶(果粒)，又叫果粒酸奶,热量：98 大卡(每100毫升),http://www.boohee.com/shiwu/suannai_guoli
蒙牛 高钙牛奶，又叫蒙牛袋装高钙牛奶,热量：59 大卡(每100毫升),http://www.boohee.com/shiwu/mengniugaogainiunai
光明 e+益生菌酸牛奶(原味)220ml (袋装),热量：45 大卡(每100毫升),http://www.boohee.com/shiwu/guangmingeyishengjunsuanniunai_yuanwei
早餐奶,热量：68 大卡(每100毫升),http://www.boohee.com/shiwu/zaocannai
酸奶(高蛋白),热量：62 大卡(每100毫升),http://www.boohee.com/shiwu/suannai_gaodanbai
奶片,热量：472 大卡(每100克),http://www.boohee.com/shiwu/naipian
全脂牛奶粉,热量：478 大卡(每100克),http://www.boohee.com/shiwu/quanzhiniunaifen
光明 纯牛奶，又叫光明牛奶,热量：66 大卡(每100毫升),http://www.boohee.com/shiwu/fded1a79
光明 优倍 高品质鲜牛奶，又叫光明 优倍高品质鲜牛奶,热量：65 大卡(每100毫升),http://www.boohee.com/shiwu/fd962a6c
光明 优倍 0脂肪 高品质脱脂鲜牛奶,热量：35 大卡(每100毫升),http://www.boohee.com/shiwu/fd460d85
光明 优倍 0乳糖 巴士杀菌调制乳,热量：67 大卡(每100毫升),http://www.boohee.com/shiwu/fdb14fc7
光明 致优 全鲜乳，又叫光明 致优全鲜乳,热量：63 大卡(每100毫升),http://www.boohee.com/shiwu/fdb47466
光明 芦荟酸奶,热量：87 大卡(每100毫升),http://www.boohee.com/shiwu/guangmingluhuisuannai
伊利 酸牛奶(原味),热量：87 大卡(每100毫升),http://www.boohee.com/shiwu/yilisuanniunai
全脂速溶奶粉,热量：466 大卡(每100克),http://www.boohee.com/shiwu/quanzhisurongnaifen
雀巢 高钙高铁奶粉，又叫Nestle 高钙高铁奶粉,热量：416 大卡(每100克),http://www.boohee.com/shiwu/quechaogaogaigaotienaifen
伊利 大果粒酸牛奶(红茶+草莓+椰果),热量：92 大卡(每100毫升),http://www.boohee.com/shiwu/yilidaguolisuanniunai
光明 奶酪(牌),热量：348 大卡(每100克),http://www.boohee.com/shiwu/nailao_guangmingpai
伊利 优品嘉人优酪乳酸牛奶,热量：78 大卡(每100毫升),http://www.boohee.com/shiwu/yiliyoupinjiarenyoulaoru
光明 优＋高品质牛奶(利乐枕),热量：62 大卡(每100毫升),http://www.boohee.com/shiwu/guangmingyouhigaopinzhiniunai
完达山 牛奶(牌)，又叫牛乳（完达山牌）,热量：60 大卡(每100毫升),http://www.boohee.com/shiwu/niuru_wandashanpai
蒙牛 冠益乳特品酸牛奶(原味)，又叫蒙牛冠益乳酸牛奶（原味）,热量：85 大卡(每100毫升),http://www.boohee.com/shiwu/mengniuguanyirutepinsuanniunaiyuanwei
蒙牛 冠益乳冠菌优酪乳酸牛奶(原味)瓶装560g,热量：85 大卡(每100毫升),http://www.boohee.com/shiwu/guanyiruguanjunyoulaorusuanniunai_yuanwei
光明 90%低脂鲜牛奶,热量：18 大卡(每100毫升),http://www.boohee.com/shiwu/guangming90hituozhixianniunai
伊利 早餐奶酪(原味),热量：287 大卡(每100克),http://www.boohee.com/shiwu/yiliyuanweizaocannailao
光明汉方草本酸牛奶,热量：91 大卡(每100毫升),http://www.boohee.com/shiwu/guangminghanfangcaobensuanniunai
达能 原味酸牛奶，又叫Danone 原味酸牛奶,热量：58 大卡(每100毫升),http://www.boohee.com/shiwu/danengyuanweisuanniunai
婴儿奶粉,热量：443 大卡(每100克),http://www.boohee.com/shiwu/yingernaifen
卡士 鲜酪乳 果味酸牛乳(粟米),热量：73 大卡(每100毫升),http://www.boohee.com/shiwu/kashihixianlaoruhiguoweisuanniuru_sumi
伊利 全脂奶粉(牌),热量：504 大卡(每100克),http://www.boohee.com/shiwu/quanzhinaifen_yilipai
纽麦福 低脂高钙奶，又叫 Meadow Fresh 低脂高钙奶,热量：61 大卡(每100毫升),http://www.boohee.com/shiwu/MeadowFreshdizhigaogainai
光明 小小健康成长奶酪,热量：190 大卡(每100克),http://www.boohee.com/shiwu/xiaoxiaoguangmingjiankangchengchangnailao
卡夫 牛奶(巧克力味， 牌)，又叫牛奶（巧克力味，Kraft 牌）,热量：80 大卡(每100克),http://www.boohee.com/shiwu/niunai_qiaokeliwei_kafupai
法国百吉福 低脂芝士片，又叫法国百吉福低脂芝士片,热量：195 大卡(每100克),http://www.boohee.com/shiwu/faguobaijifudizhizhishipian
君乐宝 东方知味红枣酸牛奶,热量：61 大卡(每100毫升),http://www.boohee.com/shiwu/junlebaodongfangzhiweihongzaosuanniunai
伊利 畅轻酸奶(草莓果粒)瓶装580g,热量：103 大卡(每100毫升),http://www.boohee.com/shiwu/yilichangqingsuannaicaomeiguoli
三元 牛奶(巧克力味，牌),热量：74 大卡(每100毫升),http://www.boohee.com/shiwu/niunai_qiaokeliwei_sanyuanpai
雀巢 全脂甜炼乳( )，又叫全脂甜炼乳（Nestle ）,热量：380 大卡(每100克),http://www.boohee.com/shiwu/quanzhitianlianru_quechao
光明无蔗糖酸奶(桶装),热量：60 大卡(每100毫升),http://www.boohee.com/shiwu/guangmingwuzhetangsuannai_tongzhuang
骑士 奶酪(牌),热量：386 大卡(每100克),http://www.boohee.com/shiwu/nailao_qishipai
光明 畅优优酪乳酸牛奶(原味)，又叫光明 畅优 优酪乳酸牛奶（原味）,热量：85 大卡(每100毫升),http://www.boohee.com/shiwu/guangmingchangyouyoulaorusuanniunaiyuanwei
伊利 大果粒酸牛奶(绿茶+蒟蒻+椰果) 大杯260g,热量：92 大卡(每100毫升),http://www.boohee.com/shiwu/yilidaguolisuanniunai_lvchajuruoyeguo
蒙牛 缔芝特低脂早餐奶酪,热量：204 大卡(每100克),http://www.boohee.com/shiwu/mengniudizhitezaocannailao
雀巢 全脂甜奶粉，又叫Nestle 全脂甜奶粉,热量：462 大卡(每100克),http://www.boohee.com/shiwu/quechaoquanzhitiannaifen
牛奶(乐百氏牌)，又叫牛乳（乐百氏牌）,热量：67 大卡(每100毫升),http://www.boohee.com/shiwu/niuru_lebaishipai
伊利 早餐奶酪(高钙),热量：263 大卡(每100克),http://www.boohee.com/shiwu/yilizaocangaogainailao
味全 优酪乳酸牛奶健康粗粮(蓝莓口味),热量：84 大卡(每100毫升),http://www.boohee.com/shiwu/weiquanyoulaorusuanniunai_jiankangculianghihilanmeikouwei
卡士 鲜酪乳调味酸牛乳(原味),热量：82 大卡(每100毫升),http://www.boohee.com/shiwu/kashixianlaoru
光明 健能草莓果粒酸牛奶 100g,热量：87 大卡(每100毫升),http://www.boohee.com/shiwu/guangmingjiannengcaomeiguolisuanniunai
光明 红枣酸奶,热量：92 大卡(每100毫升),http://www.boohee.com/shiwu/guangminghongzaosuannai
蒙牛 酸牛奶(原味),热量：85 大卡(每100毫升),http://www.boohee.com/shiwu/mengniutongzhuangyuanweisuanniunai
伊利 益生菌酸牛奶,热量：98 大卡(每100毫升),http://www.boohee.com/shiwu/yiliyishengjunsuanniunai
全脂加糖奶粉,热量：490 大卡(每100克),http://www.boohee.com/shiwu/quanzhijiatangnaifen
蒙牛 酸牛奶(草莓味)罐装950ml(盒装),热量：85 大卡(每100毫升),http://www.boohee.com/shiwu/mengniucaomeiweisuanniunai
雀巢 高纤高钙奶粉，又叫雀巢/Nestle  高纤高钙奶粉 400g、Nestle 高纤高钙奶粉,热量：428 大卡(每100克),http://www.boohee.com/shiwu/quechaopaigaoxiangaogainaifen
味全 优酪乳(原味),热量：88 大卡(每100毫升),http://www.boohee.com/shiwu/weiquanyoulaoru_yuanwei
蒙牛 冠益乳特品酸牛奶木糖醇味,热量：63 大卡(每100毫升),http://www.boohee.com/shiwu/mengniuguanyirutepinsuanniunaimutangchunwei
伊利优品嘉人优酪乳·酸牛奶[焕颜蓝莓],热量：78 大卡(每100毫升),http://www.boohee.com/shiwu/yiliyoulaoru_youpinjiaren_huanyanlanmei
低脂奶粉,热量：425 大卡(每100克),http://www.boohee.com/shiwu/dizhinaifen_gaogaigaotie_yilipai
伊利 畅轻酸奶(黄桃果粒)瓶装580g,热量：103 大卡(每100毫升),http://www.boohee.com/shiwu/yilichangqingsuannaihuangtaoguoli
蒙牛 酸牛奶(原味) ,热量：85 大卡(每100毫升),http://www.boohee.com/shiwu/mengniuyuanweisuanniunai
奶粉(多维奶粉)，又叫奶粉,热量：484 大卡(每100克),http://www.boohee.com/shiwu/niurufen_duoweinaifen
光明 减脂90%鲜牛奶,热量：32 大卡(每100毫升),http://www.boohee.com/shiwu/guangmingjianzhi90xianniunai
君乐宝 高钙无蔗糖酸牛奶,热量：45 大卡(每100毫升),http://www.boohee.com/shiwu/junlebaogaogaiwuzhetangsuanniunai
学生奶,热量：66 大卡(每100毫升),http://www.boohee.com/shiwu/xueshengnai
银桥 益生菌酸牛奶(原味),热量：78 大卡(每100毫升),http://www.boohee.com/shiwu/yinqiaoyishengjunsuanniunai
伊利ABLS益生菌酸牛奶－无蔗糖,热量：54 大卡(每100毫升),http://www.boohee.com/shiwu/yiliABLSyishengjunsuanniunaihiwuzhetang
光明 畅优B+100活性益生菌果粒酸牛奶(青提),热量：69 大卡(每100毫升),http://www.boohee.com/shiwu/guangmingchangyoudizhiqingtiguolisuannai
伊利 妙芝新鲜奶酪,热量：118 大卡(每100克),http://www.boohee.com/shiwu/yilimiaozhixinxiannailao
光明 纯牛奶香浓3.5,热量：62 大卡(每100毫升),http://www.boohee.com/shiwu/guangmingchunniunaixiangnong35
牛奶(草莓味，卡夫 牌)，又叫牛奶（草莓味，Kraft 牌）,热量：79 大卡(每100毫升),http://www.boohee.com/shiwu/niunai_caomeiwei_kafupai
可淇 高钙高铁奶粉(牌),热量：437 大卡(每100克),http://www.boohee.com/shiwu/gaogaigaotienaifen_keqipai
光明 0脂肪 鲜牛奶，又叫光明 0脂肪鲜牛奶,热量：32 大卡(每100毫升),http://www.boohee.com/shiwu/fd458bc8
牛奶(强化VA，VD)，又叫牛乳(强化VA，VD),热量：51 大卡(每100毫升),http://www.boohee.com/shiwu/niuru_qianghuaVA_VD
光明 低脂牛奶,热量：43 大卡(每100毫升),http://www.boohee.com/shiwu/guangmingdizhiniunai
蒙牛 木糖醇酸牛奶，又叫蒙牛木糖醇酸奶,热量：63 大卡(每100毫升),http://www.boohee.com/shiwu/mengniusuanniunaimutangchun
低脂奶酪,热量：241 大卡(每100克),http://www.boohee.com/shiwu/dizhinailao
伊利 无蔗糖酸牛奶(利乐包)150g,热量：52 大卡(每100毫升),http://www.boohee.com/shiwu/yiliwuzhetangsuanniunai
蒙牛 酸牛奶(草莓+树莓)100g (小盒装),热量：92 大卡(每100毫升),http://www.boohee.com/shiwu/mengniusuanniunai_caomeishumeiguoli
光明减脂90%脱脂鲜牛奶,热量：32 大卡(每100毫升),http://www.boohee.com/shiwu/guangmingjianzhi90tuozhixianniunai
伊利优品嘉人优酪乳(原味),热量：73 大卡(每100克),http://www.boohee.com/shiwu/yiliyoupinjiarenyoulaoru_yuanwei
光明 畅优红枣燕麦低脂酸奶,热量：69 大卡(每100毫升),http://www.boohee.com/shiwu/guangmingchangyouhongzaoyanmaidizhisuannai
花菜，又叫菜花、花椰菜、椰花菜、洋花菜、鲜花菜、花椰菜,热量：20 大卡(每100克),http://www.boohee.com/shiwu/caihua
结球甘蓝(紫)，又叫紫甘蓝、甘蓝、圆白菜,热量：25 大卡(每100克),http://www.boohee.com/shiwu/jieqiuganlan_zi
冬枣，又叫枣子，枣,热量：113 大卡(每100克),http://www.boohee.com/shiwu/dongzao
猕猴桃，又叫毛桃、藤梨、猕胡桃、苌楚、羊桃、毛梨、连楚、奇异果、毛叶猕猴桃、美味猕猴桃,热量：61 大卡(每100克),http://www.boohee.com/shiwu/zhonghuamihoutao
南瓜，又叫麦瓜、番瓜、倭瓜、金瓜、伏瓜、饭瓜、窝瓜、中国南瓜、倭瓜，番瓜,热量：23 大卡(每100克),http://www.boohee.com/shiwu/nangua
胡萝卜(老)，又叫萝卜、黄萝卜、丁香萝卜、红芦菔、甘笋、黄根、卜香菜、药萝卜、赤珊瑚,热量：39 大卡(每100克),http://www.boohee.com/shiwu/huluobo_hong
生菜，又叫牛俐、鲜生菜、鲜圆生菜,热量：16 大卡(每100克),http://www.boohee.com/shiwu/shengcai_niuli
橘子，又叫橘柑、柑橘、桔柑子,热量：44 大卡(每100克),http://www.boohee.com/shiwu/jieganzi
木瓜，又叫乳瓜、木梨、文冠果、番木瓜、番木瓜,热量：30 大卡(每100克),http://www.boohee.com/shiwu/mugua
葡萄，又叫草龙珠、山葫芦、蒲桃、菩提子、美人指,热量：45 大卡(每100克),http://www.boohee.com/shiwu/putao_junzhi
李子，又叫布朗、脆李、金沙李、嘉庆子、李实、嘉应子,热量：38 大卡(每100克),http://www.boohee.com/shiwu/lizi
海带(浸)，又叫江白菜，昆布、江白菜，昆布,热量：16 大卡(每100克),http://www.boohee.com/shiwu/haidai_jin
芹菜(药芹)，又叫旱芹、样芹菜、药芹、香芹、蒲芹、白茎芹菜、旱芹，药芹,热量：13 大卡(每100克),http://www.boohee.com/shiwu/qincai_baijing
空心菜，又叫通心菜、蕹菜、空心菜、藤藤菜,热量：19 大卡(每100克),http://www.boohee.com/shiwu/wengcai
西柚，又叫红柚、红心柚、葡萄柚（西柚）、西柚,热量：33 大卡(每100克),http://www.boohee.com/shiwu/putaoyou_taiwan
鱼腥草(叶)，又叫蕺菜、臭菜,热量：32 大卡(每100克),http://www.boohee.com/shiwu/yuxingcao
木耳(干)，又叫黑木耳、云耳、桑耳、松耳、黑木耳，云耳,热量：265 大卡(每100克),http://www.boohee.com/shiwu/muer_gan
豌豆苗，又叫豆苗、豌豆芽、青豆苗，碗豆苗,热量：32 大卡(每100克),http://www.boohee.com/shiwu/wandoumiao
小葱，又叫香葱、绵葱、火葱、葱,热量：27 大卡(每100克),http://www.boohee.com/shiwu/xiaocong
Easy Fun 土耳其杏干，又叫Easy Fun 土耳其杏干（整粒）,热量：268 大卡(每100克),http://www.boohee.com/shiwu/fde3717f
菠菜，又叫菠棱菜、赤根菜、波斯草、鹦鹉菜、鼠根菜、角菜、赤根菜,热量：28 大卡(每100克),http://www.boohee.com/shiwu/bocai
菠萝，又叫番梨、露兜子、凤梨、凤梨，地菠萝、红菠萝,热量：44 大卡(每100克),http://www.boohee.com/shiwu/boluo
火龙果，又叫仙蜜果、红龙果、仙蜜果、红龙果,热量：55 大卡(每100克),http://www.boohee.com/shiwu/huolongguo
草莓，又叫大草莓、士多啤梨、红莓、地莓、洋莓，凤阳草莓,热量：32 大卡(每100克),http://www.boohee.com/shiwu/caomei
芒果，又叫庵罗果、檬果、蜜望子、香盖、抹猛果，望果,热量：35 大卡(每100克),http://www.boohee.com/shiwu/mangguo
豆芽(绿豆芽)，又叫巧芽、豆芽菜、如意菜、掐菜、银芽、银针、银苗、芽心、绿豆芽,热量：16 大卡(每100克),http://www.boohee.com/shiwu/lvdouya
香菇(鲜)，又叫冬菇、香菌、爪菰、花菇、香蕈、香菰、香信、香蕈，冬菇,热量：26 大卡(每100克),http://www.boohee.com/shiwu/xianggu
茄子，又叫落苏、茄瓜,热量：23 大卡(每100克),http://www.boohee.com/shiwu/qiezi_junzhi
哈密瓜，又叫甜瓜,热量：34 大卡(每100克),http://www.boohee.com/shiwu/hamigua2
甜瓜，又叫甘瓜、库洪（维吾尔语）、香瓜,热量：26 大卡(每100克),http://www.boohee.com/shiwu/tiangua
圣女果，又叫葡萄番茄、小西红柿、小番茄、樱桃番茄、小西红柿,热量：25 大卡(每100克),http://www.boohee.com/shiwu/yingtaofanqie
冬瓜，又叫白瓜、水芝、地芝、枕瓜、濮瓜、白冬瓜、东瓜、冬瓜、鲜冬瓜片,热量：10 大卡(每100克),http://www.boohee.com/shiwu/donggua
胡萝卜(嫩)，又叫萝卜、胡萝菔、黄萝卜、金笋、丁香萝卜、红芦菔、黄根、卜香菜、药萝卜、赤珊瑚,热量：32 大卡(每100克),http://www.boohee.com/shiwu/huluobo
卷心菜(包菜，圆白菜)，又叫圆白菜，包菜，甘蓝、圆白菜、卷心菜,热量：24 大卡(每100克),http://www.boohee.com/shiwu/ganlan
红枣(鲜)，又叫红枣、美枣、良枣,热量：125 大卡(每100克),http://www.boohee.com/shiwu/zao_xian
红枣，又叫红枣、大枣、枣子,热量：276 大卡(每100克),http://www.boohee.com/shiwu/zao_gan
竹笋(鲜)，又叫笋、毛笋、竹芽、竹萌,热量：23 大卡(每100克),http://www.boohee.com/shiwu/zhusun
荸荠，又叫马蹄、马蹄，地栗,热量：61 大卡(每100克),http://www.boohee.com/shiwu/bici
木耳(水发)，又叫黑木耳、云耳、黑木耳，云耳,热量：27 大卡(每100克),http://www.boohee.com/shiwu/muer_shuifa
桔子，又叫桔子、柑桔,热量：51 大卡(每100克),http://www.boohee.com/shiwu/ganjie_junzhi
苹果，又叫滔婆、柰、柰子、频婆、平波、天然子、红富士、昭通苹果、丑苹果,热量：53 大卡(每100克),http://www.boohee.com/shiwu/pingguo_junzhi
大白菜，又叫白菜，黄心菜,热量：20 大卡(每100克),http://www.boohee.com/shiwu/dabaicai_junzhi
小白菜，又叫青菜、油白菜、白菜苗、油冬菜、白菜秧、白菜、杭白菜、青菜,热量：14 大卡(每100克),http://www.boohee.com/shiwu/xiaobaicai
香蕉，又叫蕉子、蕉果、甘蕉、甘蕉,热量：93 大卡(每100克),http://www.boohee.com/shiwu/xiangjiao
番茄，又叫西红柿、洋柿子、狼桃、番李子、金橘、番柿、六月柿、洋海椒、毛腊果、西红柿,热量：15 大卡(每100克),http://www.boohee.com/shiwu/fanqie
黄瓜，又叫青瓜、胡瓜,热量：16 大卡(每100克),http://www.boohee.com/shiwu/huanggua
Easy Fun 低脂魔芋爽(山椒味),热量：49 大卡(每100克),http://www.boohee.com/shiwu/fdd3e9eb
Easy Fun 低脂魔芋爽(香辣味),热量：49 大卡(每100克),http://www.boohee.com/shiwu/fd7db325
Easy Ace 多吃蔬菜,热量：244 大卡(每100克),http://www.boohee.com/shiwu/fd390d55
西瓜，又叫寒瓜、天生白虎汤、夏瓜、水瓜,热量：31 大卡(每100克),http://www.boohee.com/shiwu/xigua_junzhi
酸辣粉，又叫酸辣米粉、酸辣米线,热量：98 大卡(每100克),http://www.boohee.com/shiwu/suanlafen
青椒炒鸡蛋,热量：96 大卡(每100克),http://www.boohee.com/shiwu/qingjiaochaojidan
清炒芹菜，又叫马家沟芹菜、素炒芹菜,热量：44 大卡(每100克),http://www.boohee.com/shiwu/suchaoqincai
粽子,热量：195 大卡(每100克),http://www.boohee.com/shiwu/zizhizongzi
椒油拌海带,热量：68 大卡(每100克),http://www.boohee.com/shiwu/jiaoyoubanhaidai
烙玉米饼，又叫玉米饼,热量：150 大卡(每100克),http://www.boohee.com/shiwu/laoyumibing
蔬菜沙拉，又叫沙拉、蔬菜,热量：40 大卡(每100克),http://www.boohee.com/shiwu/shucaishala
清炒卷心菜，又叫炒卷心菜、卷心菜，炒包菜，炒包心菜,热量：44 大卡(每100克),http://www.boohee.com/shiwu/qingchaojuanxincai
蒜味烧茄子,热量：60 大卡(每100克),http://www.boohee.com/shiwu/suanweishaoqiezi
红烧大排,热量：248 大卡(每100克),http://www.boohee.com/shiwu/hongshaodapai
桃子，又叫桃,热量：42 大卡(每100克),http://www.boohee.com/shiwu/tao_junzhi
上海青，又叫青菜，小青菜、青菜,热量：18 大卡(每100克),http://www.boohee.com/shiwu/piaoerbai
红富士苹果,热量：49 大卡(每100克),http://www.boohee.com/shiwu/hongfushipingguo
橙子，又叫橙子、金球、香橙、黄橙、橙,热量：48 大卡(每100克),http://www.boohee.com/shiwu/cheng
菜心，又叫白菜薹、薹菜、菜薹，菜心，广东菜心、迟菜心,热量：28 大卡(每100克),http://www.boohee.com/shiwu/baicaitai
西兰花，又叫绿菜花、西蓝花、绿菜花,热量：27 大卡(每100克),http://www.boohee.com/shiwu/xilanhua
柚子，又叫文旦、香抛、霜柚、臭橙、柚、文旦,热量：42 大卡(每100克),http://www.boohee.com/shiwu/you
白萝卜，又叫萝卜、莱菔、莱菔、萝蔔,热量：16 大卡(每100克),http://www.boohee.com/shiwu/bailuobo
覆盆子，又叫树莓、红树莓,热量：52 大卡(每100克),http://www.boohee.com/shiwu/fupenzi
梨，又叫梨子、皇冠梨、快果、玉乳、果宗、蜜父、雪梨、香水梨、青梨,热量：51 大卡(每100克),http://www.boohee.com/shiwu/li_junzhi
雀巢 全仕奶(巧克力味)，又叫Nestle 全仕奶（巧克力味）,热量：72 大卡(每100毫升),http://www.boohee.com/shiwu/quechaoquanshinai_qiaokeliwei
Dr.Oetker欧特家博士 Dr.Oetker Onken脱脂酸奶,热量：48 大卡(每100毫升),http://www.boohee.com/shiwu/DrOetkerhiOnkentuozhisuannai
光明奶酪经典黄波芝士片,热量：280 大卡(每100克),http://www.boohee.com/shiwu/guangmingnailaojingdianhuangbozhishipian
达能 TAILLEFINE脱脂酸奶，又叫Danone TAILLEFINE脱脂酸奶,热量：42 大卡(每100毫升),http://www.boohee.com/shiwu/danengTaillefinetuozhisuannai
伊利 高钙奶酪,热量：287 大卡(每100克),http://www.boohee.com/shiwu/yiligaogainailao
牛奶(强化锌、钙)，又叫牛乳（强化锌、钙）,热量：60 大卡(每100毫升),http://www.boohee.com/shiwu/niuru_qianghuaxin_gai_pamalate
百吉福 减脂芝士片,热量：249 大卡(每100克),http://www.boohee.com/shiwu/faguobaijifujianzhizhishipian
光明白雪酸牛奶新鲜杯,热量：70 大卡(每100毫升),http://www.boohee.com/shiwu/guangmingbaixuesuanniunaixinxianbei
芝司乐原味高钙起司,热量：305 大卡(每100克),http://www.boohee.com/shiwu/zhisileyuanweigaogaiqisi
蒙牛 0脂肪冠益乳酸牛奶 瓶装250g，又叫蒙牛 0脂肪冠益乳酸牛奶 杯装100g,热量：69 大卡(每100毫升),http://www.boohee.com/shiwu/mengniuguanyirusuanniunai0zhifang
杏，又叫杏果、甜梅、叭达杏、杏实、杏子,热量：38 大卡(每100克),http://www.boohee.com/shiwu/xing
杨梅，又叫龙睛、朱红、水杨梅、白蒂梅、树梅、树梅，山杨梅,热量：30 大卡(每100克),http://www.boohee.com/shiwu/yangmei
山楂(红果)，又叫山果红、红果、胭脂果、海红、酸梅子、山梨、酸查、鼠查、赤瓜实、赤枣子、山里红，大山楂,热量：102 大卡(每100克),http://www.boohee.com/shiwu/hongguo
桑葚(红)，又叫桑椹,热量：55 大卡(每100克),http://www.boohee.com/shiwu/sangren_hong
芹菜，又叫刀芹、蜀芹、香芹、芹菜苗,热量：13 大卡(每100克),http://www.boohee.com/shiwu/shuiqincai
韭菜，又叫壮阳草、赶阳草、长生草、起阳草,热量：25 大卡(每100克),http://www.boohee.com/shiwu/jiucai
紫葡萄,热量：45 大卡(每100克),http://www.boohee.com/shiwu/ziputao
西瓜(京欣一号),热量：34 大卡(每100克),http://www.boohee.com/shiwu/xigua_jingxinyihao
李子杏,热量：37 大卡(每100克),http://www.boohee.com/shiwu/lizixing
西葫芦，又叫搅瓜、白南瓜,热量：19 大卡(每100克),http://www.boohee.com/shiwu/xihulu
葡萄干,热量：344 大卡(每100克),http://www.boohee.com/shiwu/putaogan
青椒，又叫青辣椒、尖椒、海椒、线椒,热量：22 大卡(每100克),http://www.boohee.com/shiwu/lajiao_qing_jian
洋葱，又叫洋葱头、玉葱、葱头、圆葱、球葱、洋葱、葱头,热量：40 大卡(每100克),http://www.boohee.com/shiwu/yangcong
金针菇，又叫朴菰 、构菌、冻菌、金菇、毛柄金钱菌、智力菇、鲜金针菇、智力菇,热量：32 大卡(每100克),http://www.boohee.com/shiwu/jinzhengu
莲藕，又叫藕、莲藕,热量：47 大卡(每100克),http://www.boohee.com/shiwu/ou
红提子葡萄，又叫提子、红提,热量：54 大卡(每100克),http://www.boohee.com/shiwu/hongtiziputao
海带(鲜)，又叫昆布、江白菜、纶布、海昆布、海马蔺、海带菜、海草、海马?A、江白菜,热量：13 大卡(每100克),http://www.boohee.com/shiwu/haidai
荔枝，又叫丹荔、丽枝、香果、勒荔、离支,热量：71 大卡(每100克),http://www.boohee.com/shiwu/lizhi
生菜(叶用莴苣)，又叫叶用莴苣,热量：12 大卡(每100克),http://www.boohee.com/shiwu/shengcai_yeyongwoju
结球甘蓝(绿)，又叫甘蓝、卷心菜、包心菜、洋白菜、包菜、莲花白、疙瘩白、大头菜、高丽菜、结球甘蓝、蓝菜、西土蓝、圆白菜、牛心菜,热量：17 大卡(每100克),http://www.boohee.com/shiwu/jieqiuganlan_lv
马奶子葡萄,热量：41 大卡(每100克),http://www.boohee.com/shiwu/manaiziputao
桑葚，又叫桑椹,热量：57 大卡(每100克),http://www.boohee.com/shiwu/sangren_junzhi
紫菜(干)，又叫索菜、子菜、甘紫菜,热量：250 大卡(每100克),http://www.boohee.com/shiwu/zicai_gan
国光苹果,热量：56 大卡(每100克),http://www.boohee.com/shiwu/guoguangpingguo
四季豆，又叫菜豆、豆角、云扁豆、龙爪豆、龙骨豆、芸豆、白豆、二生豆、菜豆、芸豆,热量：24 大卡(每100克),http://www.boohee.com/shiwu/sijidou
莴笋，又叫莴苣、春菜、生笋、千金菜、茎用莴苣、青笋、莴菜、香马笋、莴苣，窝笋,热量：15 大卡(每100克),http://www.boohee.com/shiwu/wosun
蘑菇(鲜蘑)，又叫蕈、菌、茸、蘑菰、蘑菇蕈、蘑子蕈、肉蕈、肉菌、蘑菇菌、蘑菇,热量：24 大卡(每100克),http://www.boohee.com/shiwu/mogu_xianmo
长把梨,热量：62 大卡(每100克),http://www.boohee.com/shiwu/changbali
银耳(干)，又叫白木耳、雪耳、白木耳,热量：261 大卡(每100克),http://www.boohee.com/shiwu/yiner_gan
枣(干，大),热量：317 大卡(每100克),http://www.boohee.com/shiwu/zao_gan_da
豆浆,热量：31 大卡(每100毫升),http://www.boohee.com/shiwu/doujiang
瓜子仁，又叫向日葵子、天葵子、葵子、瓜子仁、瓜子,热量：615 大卡(每100克),http://www.boohee.com/shiwu/kuihuaziren
豆浆(甜),热量：34 大卡(每100毫升),http://www.boohee.com/shiwu/doujiang_tian
豆腐干(白干)，又叫豆干、白干,热量：197 大卡(每100克),http://www.boohee.com/shiwu/doufugan_junzhi
