编号	影片名	导演名	主演名	主要奖项	评分	发行时间	发行国家地区	详情页
80	银河英雄传说	石黑升	玄田哲章		9.1	1988年8月1日	日本	http://movie.mtime.com/63112
81	小查和寇弟的顶级生活		布兰达·宋	最佳儿童节目	9.1	2005年3月18日	美国	http://movie.mtime.com/63554
82	无限世界		凯蒂·卡麦克		9.1	2001年8月5日	英国	http://movie.mtime.com/63651
83	囧司徒每日秀	查克·奥尼尔	乔恩·斯图尔特	综艺/音乐/喜剧特别节目最佳导演	9.1	1996年7月22日	美国	http://movie.mtime.com/66911
84	英国达人		阿曼达·霍尔登	观众奖(电视类)	9.1	2007年6月9日	英国	http://movie.mtime.com/69156
85	冤家成双		杰克·达文波特		9.1	2000年5月12日	英国	http://movie.mtime.com/69717
86	崭新的心		池城	最佳男演员奖	9.1	2007年12月12日	韩国	http://movie.mtime.com/73204
87					9.1	2006年10月25日	法国	http://movie.mtime.com/85765
88	风之花园	石坂理江子	中井贵一		9.1	2008年10月9日	日本	http://movie.mtime.com/87742
89			中原麻衣		9.1	2008年10月2日	日本	http://movie.mtime.com/89617
90	摩登家庭		泰·布利尔	喜剧类剧集最佳客座男演员	9.1	2009年9月23日	美国	http://movie.mtime.com/106736
91	关口知宏的中国铁道大纪行		关口知宏		9.1	2007年4月8日	日本	http://movie.mtime.com/109956
92	权力的游戏	艾伦·泰勒	基特·哈灵顿	剧情类剧集最佳男配角	9.1	2011年4月17日	美国	http://movie.mtime.com/111754
93	自然大世界		大卫·艾登堡	最佳纪实类音效	9.1	2009年5月29日	美国	http://movie.mtime.com/113130
94	同伊	李炳勋	韩孝珠	最佳女演员奖	9.1	2010年3月22日		http://movie.mtime.com/124238
95	母亲	水田伸生	松雪泰子		9.1	2010年4月14日	日本	http://movie.mtime.com/126942
96	一点双人秀		斯蒂芬·弗雷		9.1	2003年5月30日	英国	http://movie.mtime.com/128849
97	希区柯克悬念故事集		阿尔弗雷德·希区柯克	剧情类剧集最佳编剧-改编剧本	9.1	1955年10月2日	美国	http://movie.mtime.com/146653
98	夏目友人帐 叁	大森贵弘	神谷浩史		9.1	2011年7月4日	日本	http://movie.mtime.com/150706
99	虫师 续章		土井美加		9.1	2014年4月4日	日本	http://movie.mtime.com/210650
100	隐秘王国		斯蒂芬·弗雷		9.1	2014年1月16日	意大利	http://movie.mtime.com/216512
